architecture,benchmark,benchmark_key,avg_cpd,avg_wl,successful_seeds,failed_seeds
All_top_arch,C880,C880,5.011989999999999,1049.0,5,0
Iso-Edge_arch,C880,C880,4.99095,1019.8,5,0
Mix-Edge_arch,C880,C880,5.082916,1132.0,5,0
Aligned_arch,C880,C880,4.9597,1145.2,5,0
Striped_arch,C880,C880,5.319138000000001,1190.6,5,0
Border_arch,C880,C880,5.364,1336.0,5,0
2D_arch,PIC16F84,PIC16F84,4.82249,7609.0,5,0
Offset_arch,PIC16F84,PIC16F84,4.77487,6976.4,5,0
All_top_arch,PIC16F84,PIC16F84,4.692454000000001,7093.4,5,0
Iso-Edge_arch,PIC16F84,PIC16F84,4.76517,7164.6,5,0
Mix-Edge_arch,PIC16F84,PIC16F84,4.745766000000001,6953.0,5,0
Aligned_arch,PIC16F84,PIC16F84,4.776376,7139.2,5,0
Striped_arch,PIC16F84,PIC16F84,4.771946,7165.4,5,0
Border_arch,PIC16F84,PIC16F84,4.628492,6825.8,5,0
2D_arch,PIC16F84_T100,PIC16F84_T100,5.467212,7848.2,5,0
Offset_arch,PIC16F84_T100,PIC16F84_T100,5.2031540000000005,7320.0,5,0
All_top_arch,PIC16F84_T100,PIC16F84_T100,5.085863999999999,7530.0,5,0
Iso-Edge_arch,PIC16F84_T100,PIC16F84_T100,5.221444,7456.8,5,0
Mix-Edge_arch,PIC16F84_T100,PIC16F84_T100,5.252288,7112.0,5,0
Aligned_arch,PIC16F84_T100,PIC16F84_T100,5.160193999999999,7044.0,5,0
Striped_arch,PIC16F84_T100,PIC16F84_T100,5.232888,7374.6,5,0
Border_arch,PIC16F84_T100,PIC16F84_T100,5.004616,7103.2,5,0
2D_arch,PIC16F84_T200,PIC16F84_T200,5.086862000000001,7531.4,5,0
Offset_arch,PIC16F84_T200,PIC16F84_T200,5.052042,7152.6,5,0
All_top_arch,PIC16F84_T200,PIC16F84_T200,4.974698000000001,7280.4,5,0
Iso-Edge_arch,PIC16F84_T200,PIC16F84_T200,5.044598,7243.0,5,0
Mix-Edge_arch,PIC16F84_T200,PIC16F84_T200,5.0912500000000005,6842.8,5,0
Aligned_arch,PIC16F84_T200,PIC16F84_T200,5.092884,7054.6,5,0
Striped_arch,PIC16F84_T200,PIC16F84_T200,5.2435860000000005,7258.4,5,0
Border_arch,PIC16F84_T200,PIC16F84_T200,5.1254040000000005,6980.8,5,0
2D_arch,PIC16F84_T300,PIC16F84_T300,4.804596,7614.2,5,0
Offset_arch,PIC16F84_T300,PIC16F84_T300,4.9532560000000005,7123.4,5,0
All_top_arch,PIC16F84_T300,PIC16F84_T300,4.802960000000001,6932.8,5,0
Iso-Edge_arch,PIC16F84_T300,PIC16F84_T300,4.898196,7005.4,5,0
Mix-Edge_arch,PIC16F84_T300,PIC16F84_T300,4.738326000000001,6826.2,5,0
Aligned_arch,PIC16F84_T300,PIC16F84_T300,5.027588,7023.0,5,0
Striped_arch,PIC16F84_T300,PIC16F84_T300,4.89669,7284.0,5,0
Border_arch,PIC16F84_T300,PIC16F84_T300,4.7883320000000005,7059.2,5,0
2D_arch,PIC16F84_T400,PIC16F84_T400,4.853718,7672.4,5,0
Offset_arch,PIC16F84_T400,PIC16F84_T400,4.781516,7060.8,5,0
All_top_arch,PIC16F84_T400,PIC16F84_T400,4.7578380000000005,7035.8,5,0
Iso-Edge_arch,PIC16F84_T400,PIC16F84_T400,4.752676000000001,7020.8,5,0
Mix-Edge_arch,PIC16F84_T400,PIC16F84_T400,4.767426,6999.4,5,0
Aligned_arch,PIC16F84_T400,PIC16F84_T400,4.693098000000001,7082.8,5,0
Striped_arch,PIC16F84_T400,PIC16F84_T400,4.779388,7328.2,5,0
Border_arch,PIC16F84_T400,PIC16F84_T400,4.832058000000001,6755.2,5,0
2D_arch,RC5,RC5,11.23432,13845.0,5,0
Offset_arch,RC5,RC5,11.616299999999999,12789.0,5,0
All_top_arch,RC5,RC5,11.556180000000001,12717.8,5,0
Iso-Edge_arch,RC5,RC5,11.3422,12633.2,5,0
Mix-Edge_arch,RC5,RC5,11.15018,12167.0,5,0
Aligned_arch,RC5,RC5,11.59066,12917.8,5,0
Striped_arch,RC5,RC5,11.70676,13179.8,5,0
Border_arch,RC5,RC5,11.745540000000002,12362.6,5,0
2D_arch,RC6,RC6,36.79356,104836.8,5,0
Offset_arch,RC6,RC6,35.391560000000005,91914.8,5,0
All_top_arch,RC6,RC6,34.2143,90737.4,5,0
Iso-Edge_arch,RC6,RC6,34.96052,87239.8,5,0
Mix-Edge_arch,RC6,RC6,35.84194,88731.0,5,0
Aligned_arch,RC6,RC6,35.72056,91983.8,5,0
Striped_arch,RC6,RC6,36.165980000000005,92747.6,5,0
Border_arch,RC6,RC6,35.22334,87265.4,5,0
2D_arch,RS232_T200,RS232_T200,2.67486,327.4,5,0
Offset_arch,RS232_T200,RS232_T200,2.2681519999999997,273.4,5,0
All_top_arch,RS232_T200,RS232_T200,2.3761319999999997,261.8,5,0
Iso-Edge_arch,RS232_T200,RS232_T200,2.411888,288.0,5,0
Mix-Edge_arch,RS232_T200,RS232_T200,2.310094,266.8,5,0
Aligned_arch,RS232_T200,RS232_T200,2.469984,290.0,5,0
Striped_arch,RS232_T200,RS232_T200,2.338966,278.8,5,0
Border_arch,RS232_T200,RS232_T200,2.2294600000000004,243.8,5,0
2D_arch,RS232_T300,RS232_T300,2.5064040000000003,374.8,5,0
Offset_arch,RS232_T300,RS232_T300,2.334562,317.6,5,0
All_top_arch,RS232_T300,RS232_T300,2.4556500000000003,336.2,5,0
Iso-Edge_arch,RS232_T300,RS232_T300,2.3151599999999997,312.4,5,0
Mix-Edge_arch,RS232_T300,RS232_T300,2.3734859999999998,319.6,5,0
Aligned_arch,RS232_T300,RS232_T300,2.38192,302.4,5,0
Striped_arch,RS232_T300,RS232_T300,2.2644919999999997,294.0,5,0
Border_arch,RS232_T300,RS232_T300,2.325354,278.6,5,0
2D_arch,RS232_T400,RS232_T400,2.737778,351.8,5,0
Offset_arch,RS232_T400,RS232_T400,2.348522,283.0,5,0
All_top_arch,RS232_T400,RS232_T400,2.490538,330.0,5,0
Iso-Edge_arch,RS232_T400,RS232_T400,2.35785,287.0,5,0
Mix-Edge_arch,RS232_T400,RS232_T400,2.37979,292.8,5,0
Aligned_arch,RS232_T400,RS232_T400,2.429592,297.8,5,0
Striped_arch,RS232_T400,RS232_T400,2.4622699999999997,309.8,5,0
Border_arch,RS232_T400,RS232_T400,2.356646,285.0,5,0
2D_arch,RS232_T500,RS232_T500,5.334116,691.8,5,0
Offset_arch,RS232_T500,RS232_T500,5.388503999999999,663.2,5,0
All_top_arch,RS232_T500,RS232_T500,5.279464,655.8,5,0
Iso-Edge_arch,RS232_T500,RS232_T500,5.22262,606.2,5,0
Mix-Edge_arch,RS232_T500,RS232_T500,5.165784,591.2,5,0
Aligned_arch,RS232_T500,RS232_T500,5.251340000000001,591.6,5,0
Striped_arch,RS232_T500,RS232_T500,5.197412,663.2,5,0
Border_arch,RS232_T500,RS232_T500,5.249353999999999,599.4,5,0
2D_arch,S1196,S1196,4.838724,978.4,5,0
Offset_arch,S1196,S1196,4.965692,1021.6,5,0
All_top_arch,S1196,S1196,5.1530439999999995,1148.2,5,0
Iso-Edge_arch,S1196,S1196,4.9895119999999995,1089.6,5,0
Mix-Edge_arch,S1196,S1196,5.0752,1066.0,5,0
Aligned_arch,S1196,S1196,5.018236,1068.2,5,0
Striped_arch,S1196,S1196,5.14196,1174.2,5,0
Border_arch,S1196,S1196,5.078748,1001.8,5,0
2D_arch,S1238,S1238,5.049992,1114.2,5,0
Offset_arch,S1238,S1238,4.520709999999999,1001.4,5,0
All_top_arch,S1238,S1238,4.82384,1101.4,5,0
Iso-Edge_arch,S1238,S1238,4.9489279999999995,1028.0,5,0
Mix-Edge_arch,S1238,S1238,4.606268,984.8,5,0
Aligned_arch,S1238,S1238,4.5695619999999995,949.4,5,0
Striped_arch,S1238,S1238,4.694578,978.2,5,0
Border_arch,S1238,S1238,4.530412,939.8,5,0
2D_arch,S13207,S13207,6.0989379999999995,7101.8,5,0
Offset_arch,S13207,S13207,5.807862,6342.6,5,0
All_top_arch,S13207,S13207,6.024146,6477.2,5,0
Iso-Edge_arch,S13207,S13207,6.2653620000000005,6544.2,5,0
Mix-Edge_arch,S13207,S13207,6.0287239999999995,6353.2,5,0
Aligned_arch,S13207,S13207,5.9522639999999996,6449.4,5,0
Striped_arch,S13207,S13207,6.042356,6642.6,5,0
Border_arch,S13207,S13207,5.995507999999999,6289.0,5,0
2D_arch,S1423,S1423,7.980982,1050.8,5,0
Offset_arch,S1423,S1423,7.906474,969.6,5,0
All_top_arch,S1423,S1423,7.945626,981.4,5,0
Iso-Edge_arch,S1423,S1423,7.830412,979.8,5,0
Mix-Edge_arch,S1423,S1423,7.668106,993.4,5,0
Aligned_arch,S1423,S1423,7.544777999999999,931.2,5,0
Striped_arch,S1423,S1423,7.861722,1011.8,5,0
Border_arch,S1423,S1423,8.000002,990.4,5,0
2D_arch,S1488,S1488,3.9057899999999997,1006.2,5,0
Offset_arch,S1488,S1488,3.4670560000000004,850.8,5,0
All_top_arch,S1488,S1488,3.5057500000000004,876.6,5,0
Iso-Edge_arch,S1488,S1488,3.431946,886.0,5,0
Mix-Edge_arch,S1488,S1488,3.539782,850.6,5,0
Aligned_arch,S1488,S1488,3.439864,842.4,5,0
Striped_arch,S1488,S1488,3.2659979999999997,798.6,5,0
Border_arch,S1488,S1488,3.544714,848.6,5,0
2D_arch,S1494,S1494,3.91858,949.6,5,0
Offset_arch,S1494,S1494,3.326654,798.6,5,0
All_top_arch,S1494,S1494,3.514194,735.4,5,0
Iso-Edge_arch,S1494,S1494,3.5046039999999996,813.4,5,0
Mix-Edge_arch,S1494,S1494,3.555288,813.4,5,0
Aligned_arch,S1494,S1494,3.402698,771.8,5,0
Striped_arch,S1494,S1494,3.43086,804.4,5,0
Border_arch,S1494,S1494,3.441666,762.4,5,0
2D_arch,S15850,S15850,7.991774000000001,8303.8,5,0
Offset_arch,S15850,S15850,7.7472520000000005,7987.8,5,0
All_top_arch,S15850,S15850,7.917452,8124.2,5,0
Iso-Edge_arch,S15850,S15850,7.742298,8085.6,5,0
Mix-Edge_arch,S15850,S15850,7.507666,7812.6,5,0
Aligned_arch,S15850,S15850,7.915918,8163.2,5,0
Striped_arch,S15850,S15850,7.959802000000001,8261.4,5,0
Border_arch,S15850,S15850,7.702744,7596.8,5,0
2D_arch,S27,S27,2.48611,72.0,5,0
Offset_arch,S27,S27,1.4327279999999998,27.2,5,0
All_top_arch,S27,S27,1.442428,32.2,5,0
Iso-Edge_arch,S27,S27,1.58139,39.6,5,0
Mix-Edge_arch,S27,S27,1.5539239999999999,39.4,5,0
Aligned_arch,S27,S27,1.4698939999999998,30.4,5,0
Striped_arch,S27,S27,1.479594,33.8,5,0
Border_arch,S27,S27,1.5539239999999999,41.4,5,0
2D_arch,S298_ORIG,S298_ORIG,1.78255,202.6,5,0
Offset_arch,S298_ORIG,S298_ORIG,1.8746459999999998,164.6,5,0
All_top_arch,S298_ORIG,S298_ORIG,1.856882,180.8,5,0
Iso-Edge_arch,S298_ORIG,S298_ORIG,1.8568820000000001,158.2,5,0
Mix-Edge_arch,S298_ORIG,S298_ORIG,1.8197160000000001,146.4,5,0
Aligned_arch,S298_ORIG,S298_ORIG,1.78255,178.2,5,0
Striped_arch,S298_ORIG,S298_ORIG,1.89241,162.0,5,0
Border_arch,S298_ORIG,S298_ORIG,1.931214,193.4,5,0
2D_arch,S344,S344,2.266286,376.0,5,0
Offset_arch,S344,S344,2.0742399999999996,300.8,5,0
All_top_arch,S344,S344,2.0495919999999996,328.6,5,0
Iso-Edge_arch,S344,S344,2.093994,350.6,5,0
Mix-Edge_arch,S344,S344,2.1130400000000003,309.4,5,0
Aligned_arch,S344,S344,1.8900499999999998,288.0,5,0
Striped_arch,S344,S344,2.130804,318.6,5,0
Border_arch,S344,S344,1.9021519999999998,291.6,5,0
2D_arch,S349,S349,2.266286,373.8,5,0
Offset_arch,S349,S349,2.0742399999999996,303.2,5,0
All_top_arch,S349,S349,2.086758,328.0,5,0
Iso-Edge_arch,S349,S349,2.1584960000000004,361.8,5,0
Mix-Edge_arch,S349,S349,2.10334,314.8,5,0
Aligned_arch,S349,S349,1.881758,284.0,5,0
Striped_arch,S349,S349,2.130804,318.8,5,0
Border_arch,S349,S349,1.9021519999999998,291.8,5,0
2D_arch,S35932,S35932,3.137894,15066.6,5,0
Offset_arch,S35932,S35932,2.8454620000000004,13805.2,5,0
